Country Name,Access to electricity (% of population),Adolescents out of school (% of lower secondary school age),Adults (ages 15-49) newly infected with HIV,Bank liquid reserves to bank assets ratio (%),"Death rate, crude (per 1,000 people)","Life expectancy at birth, total (years)",Lifetime risk of maternal death (%),Number of deaths ages 5-9 years,Number of deaths ages 10-14 years,Number of deaths ages 15-19 years,Number of deaths ages 20-24 years,Number of infant deaths,Number of maternal deaths,Number of neonatal deaths,Number of under-five deaths
Ethiopia,55.4,52.5708862829584,6800,,5.96,67.315,0.793909543911477,12661,8673,20366,20752,145121,8000,112319,187237
Faroe Islands,100,,,,7.6,83.1439024390244,,,,,,,,,
Fiji,99.3,2.84518494787348,990,33.8525642037687,9.255,67.316,0.0646714230953423,38,48,62,88,396,5,248,488
Finland,100,1.12704002857208,,,11,81.6853658536585,0.00903850194407271,19,26,119,197,80,3,58,102
France,100,0.179069995880127,3100,,9.2,82.9292682926829,0.0100157457413623,283,322,877,1634,2260,47,1759,2899
French Polynesia,100,,,,3.649,84.07,,,,,,,,,
Gabon,94.1,,1500,,6.269,68.337,0.832923789801269,281,345,216,241,1814,160,1152,2273
"Gambia, The",66.9,14.1992022744551,960,31.4917352265164,6.292,65.86,1.38898831801172,358,295,440,502,2747,290,1943,3556
Georgia,100,1.85247014499182,530,11.3409596099449,11.839,74.496,0.0300082387537348,39,48,108,156,349,9,233,409
Germany,100,0.568939983844757,2100,,12.3,80.5414634146342,0.00462217713819232,328,328,910,1326,2225,26,1642,2675
Ghana,89.5,,14000,66.1096615612393,7.04,65.498,0.750389173051613,4775,3437,4650,4408,24822,2100,18856,32579
Gibraltar,100,,,,6.51,83.553,,,,,,,,,
Greece,100,0.979390025138855,520,,12.2,81.5365853658537,0.00494889750747669,29,40,102,175,235,4,167,282
Greenland,100,,,,9.4,71.549756097561,,,,,,,,,
Grenada,94.4,,,18.9293847660382,8.859,75.205,0.068962986844601,3,5,4,4,23,1,17,25
Guam,100,,,,6.868,77.209,,,,,,,,,
